week_from,Tame Impala,The Beatles,The Smiths,The Beach Boys,Pink Floyd,Arctic Monkeys,Bob Dylan,Cream,Mac DeMarco,King Gizzard & The Lizard Wizard
05-03-2017,6,12,0,0,29,3,1,0,17,0
12-03-2017,32,26,0,0,19,2,1,0,8,0
19-03-2017,11,4,0,0,14,0,2,0,2,0
26-03-2017,3,54,0,27,28,0,13,1,3,2
02-04-2017,2,22,0,0,10,8,1,1,2,0
09-04-2017,7,37,0,0,18,0,0,0,4,0
16-04-2017,11,29,0,0,17,3,1,0,5,0
23-04-2017,7,36,0,1,8,0,2,0,2,0
30-04-2017,5,13,0,0,5,4,2,0,1,0
07-05-2017,27,16,0,0,113,7,1,0,4,0
14-05-2017,15,26,9,0,38,0,0,0,2,0
21-05-2017,12,22,18,0,36,13,0,1,1,0
28-05-2017,10,35,4,3,103,29,0,0,1,0
04-06-2017,13,6,4,3,55,1,4,0,1,12
11-06-2017,32,14,4,1,13,10,1,0,0,0
18-06-2017,23,107,2,1,15,4,71,0,1,1
25-06-2017,3,94,2,0,56,2,2,1,0,0
02-07-2017,4,12,0,0,64,3,0,1,0,0
09-07-2017,8,35,4,1,46,4,45,0,0,0
16-07-2017,8,112,3,0,24,2,7,0,0,0
23-07-2017,3,115,0,0,20,0,5,0,0,0
30-07-2017,0,103,0,0,2,0,4,24,0,0
06-08-2017,0,176,2,0,20,2,1,36,0,0
13-08-2017,1,245,0,0,20,0,0,4,0,0
20-08-2017,0,53,0,1,1,0,0,3,0,0
27-08-2017,0,113,4,6,11,0,0,1,0,0
03-09-2017,21,116,1,2,4,0,3,4,2,1
10-09-2017,9,86,4,2,18,3,0,15,0,0
17-09-2017,3,57,0,1,10,0,1,3,1,0
24-09-2017,1,96,0,1,2,0,1,14,0,0
01-10-2017,2,78,2,0,15,0,0,14,0,0
08-10-2017,6,98,0,34,142,0,0,9,0,0
15-10-2017,12,17,1,2,81,0,0,2,0,0
22-10-2017,2,85,2,4,63,0,0,18,0,0
29-10-2017,2,99,4,14,62,1,2,13,0,0
05-11-2017,2,47,3,37,39,2,0,2,0,0
12-11-2017,0,15,1,20,12,1,1,4,0,0
19-11-2017,1,29,1,2,25,4,0,4,0,0
26-11-2017,22,44,5,5,18,4,0,5,11,0
03-12-2017,6,144,3,18,49,0,0,4,0,0
10-12-2017,3,35,5,105,14,0,0,4,0,0
17-12-2017,10,16,1,33,7,1,0,1,0,0
24-12-2017,3,7,4,7,3,0,0,0,0,0
31-12-2017,4,40,1,53,3,1,1,2,0,0
07-01-2018,4,27,0,116,21,1,2,1,1,13
14-01-2018,8,38,1,32,11,0,0,3,3,2
21-01-2018,1,19,0,72,29,1,1,2,2,0
28-01-2018,1,31,0,149,8,4,0,0,0,0
04-02-2018,0,33,0,128,3,0,1,1,0,0
11-02-2018,11,11,0,148,15,3,0,2,54,1
18-02-2018,0,14,0,16,0,0,0,0,0,0
25-02-2018,0,37,0,43,1,2,2,8,1,2
04-03-2018,59,25,0,25,0,0,0,32,13,0
11-03-2018,13,20,2,41,0,0,0,13,16,0
18-03-2018,0,23,0,48,7,4,0,13,45,0
25-03-2018,0,17,0,38,14,1,0,5,42,0
01-04-2018,2,27,1,14,5,1,2,8,46,0
08-04-2018,0,30,0,23,6,5,0,4,2,0
15-04-2018,19,17,0,23,2,3,0,2,35,1
22-04-2018,2,33,0,8,20,0,1,20,45,0
29-04-2018,4,129,4,81,12,24,2,87,27,0
06-05-2018,3,59,1,15,2,21,2,2,82,0
13-05-2018,13,10,0,7,0,28,0,0,4,0
20-05-2018,1,24,1,7,1,0,0,3,30,0
27-05-2018,1,18,0,18,0,0,0,3,18,0
03-06-2018,5,17,0,36,2,0,0,32,31,0
10-06-2018,0,39,0,10,1,0,0,80,8,0
17-06-2018,8,54,0,16,1,0,2,65,2,0
24-06-2018,13,47,0,10,3,1,1,55,0,0
01-07-2018,74,16,0,2,12,0,0,100,5,0
08-07-2018,67,132,0,12,65,3,2,49,40,0
15-07-2018,122,22,2,4,17,1,0,39,0,86
22-07-2018,81,197,0,34,8,3,18,48,28,6
29-07-2018,54,59,0,28,37,0,14,29,4,0
05-08-2018,66,63,1,3,7,5,0,17,1,1
12-08-2018,69,32,0,1,5,1,0,6,14,33
19-08-2018,99,14,0,7,1,0,1,10,1,19
26-08-2018,105,25,0,2,2,0,0,1,1,0
02-09-2018,104,12,0,4,10,0,1,6,9,47
09-09-2018,63,83,0,2,0,14,0,8,0,42
16-09-2018,108,36,0,0,0,4,0,0,49,41
23-09-2018,72,24,0,0,0,0,0,1,4,18
30-09-2018,119,54,0,0,16,0,0,1,6,19
07-10-2018,61,117,0,39,1,0,0,32,6,1
14-10-2018,114,47,1,23,50,4,0,27,18,15
21-10-2018,120,22,1,33,42,5,0,3,9,6
28-10-2018,124,33,1,2,29,0,88,1,10,9
04-11-2018,101,38,4,24,0,1,55,0,1,1
11-11-2018,51,88,1,112,3,0,6,11,29,0
18-11-2018,77,49,0,11,4,0,18,2,21,0
25-11-2018,78,14,0,89,0,0,48,3,30,8
02-12-2018,66,9,0,169,0,0,7,0,2,7
09-12-2018,74,36,1,118,4,0,10,11,13,6
16-12-2018,42,20,0,18,2,3,3,48,9,3
23-12-2018,12,4,0,5,0,0,2,3,4,1
30-12-2018,69,32,0,19,1,1,2,4,16,13
06-01-2019,88,6,0,1,0,0,0,0,7,1
13-01-2019,72,14,0,4,0,8,2,0,25,12
20-01-2019,31,3,0,1,0,3,1,1,11,7
27-01-2019,69,7,0,0,0,9,0,11,4,20
03-02-2019,9,7,0,1,7,3,0,0,7,58
10-02-2019,38,27,0,0,0,3,3,0,1,32
17-02-2019,49,26,0,3,0,3,2,0,5,17
24-02-2019,10,18,43,3,0,0,2,2,2,2
03-03-2019,61,6,300,7,1,1,0,2,4,2
10-03-2019,44,2,152,0,0,0,0,2,0,4
17-03-2019,17,11,214,16,2,4,0,0,1,3
24-03-2019,5,1,109,2,1,6,0,0,3,2
31-03-2019,24,7,150,15,5,2,1,3,7,5
07-04-2019,63,15,71,5,17,0,3,3,2,2
14-04-2019,105,8,69,11,46,0,2,5,5,2
21-04-2019,69,9,76,6,2,2,0,0,5,19
28-04-2019,22,1,158,1,8,2,0,1,4,12
05-05-2019,22,0,22,0,0,13,0,0,5,0
12-05-2019,32,3,32,2,1,5,2,7,1,2
19-05-2019,21,16,9,1,15,81,1,1,1,2
26-05-2019,11,1,63,3,0,155,0,1,0,5
02-06-2019,44,0,4,1,0,145,0,0,2,8
09-06-2019,8,0,15,0,0,98,0,0,0,3
16-06-2019,21,0,12,1,0,101,0,0,4,9
23-06-2019,16,0,3,0,1,24,0,1,2,2
30-06-2019,39,2,26,4,1,91,0,0,12,13
07-07-2019,54,37,34,2,0,74,0,0,9,2
14-07-2019,15,0,17,0,15,103,0,0,1,7
21-07-2019,28,0,18,1,0,37,0,1,6,11
28-07-2019,15,0,23,0,12,48,0,0,1,4
04-08-2019,18,0,6,0,0,17,0,0,0,0
11-08-2019,26,0,4,0,0,32,0,0,5,17
18-08-2019,19,0,9,0,0,11,0,0,5,5
25-08-2019,4,0,38,0,1,27,0,0,0,12
01-09-2019,16,4,138,4,5,21,0,0,2,3
08-09-2019,27,35,10,3,1,15,0,1,1,3
15-09-2019,27,4,9,1,1,10,2,2,7,15
22-09-2019,7,1,8,2,0,20,0,0,1,1
29-09-2019,11,0,4,0,0,10,0,0,3,18
06-10-2019,18,0,10,0,0,28,0,0,5,24
13-10-2019,36,1,1,3,0,16,0,8,2,21
20-10-2019,56,0,15,0,0,13,0,0,1,0
27-10-2019,53,28,1,4,1,8,0,0,3,5
03-11-2019,39,0,0,0,0,0,0,0,1,2
10-11-2019,9,14,11,2,2,20,0,45,1,0
17-11-2019,38,12,39,3,2,5,0,8,4,20
24-11-2019,10,0,15,1,2,49,0,2,4,24
01-12-2019,37,0,35,0,0,18,0,0,5,5
08-12-2019,5,2,9,0,0,9,0,6,0,0
15-12-2019,6,0,39,0,9,6,0,0,1,0
22-12-2019,22,2,38,9,0,21,0,20,2,7
29-12-2019,21,1,31,6,0,67,1,0,4,25
05-01-2020,5,0,3,0,0,16,0,0,0,2
12-01-2020,35,31,11,0,24,26,0,1,0,18
19-01-2020,8,11,9,0,8,19,0,0,1,20
26-01-2020,52,2,8,1,0,11,0,0,15,11
02-02-2020,43,8,2,1,2,1,1,2,4,8
09-02-2020,24,11,9,0,1,10,0,3,4,6
16-02-2020,109,1,1,0,17,8,0,2,17,5
23-02-2020,100,5,2,0,37,0,0,0,9,1
01-03-2020,36,1,14,4,7,36,0,1,4,12
08-03-2020,29,0,39,0,12,23,0,0,1,9
15-03-2020,43,0,4,0,2,8,0,3,3,4
22-03-2020,12,0,9,0,0,2,0,0,1,1
29-03-2020,4,0,0,0,0,1,0,0,1,13
05-04-2020,68,10,8,0,0,20,0,0,8,10
12-04-2020,101,33,4,2,11,31,1,3,5,13
19-04-2020,104,0,75,26,7,24,0,3,12,25
26-04-2020,49,16,20,5,13,15,1,8,3,2
03-05-2020,26,1,26,2,2,65,2,0,5,2
10-05-2020,40,7,20,2,1,10,8,8,1,10
17-05-2020,23,5,4,0,13,36,2,13,3,22
24-05-2020,25,11,16,0,14,4,0,10,3,10
31-05-2020,19,3,3,0,0,18,0,22,1,7
07-06-2020,16,0,1,3,1,0,1,2,0,8
14-06-2020,26,23,9,1,0,17,0,0,5,8
21-06-2020,23,13,5,0,0,13,0,5,4,8
28-06-2020,7,1,1,0,0,4,0,2,5,7
05-07-2020,9,1,2,0,0,3,0,2,0,0
12-07-2020,7,0,3,0,4,1,1,2,2,2
19-07-2020,19,2,11,0,1,8,0,4,2,7
26-07-2020,7,1,0,1,10,0,0,1,2,0
02-08-2020,7,0,2,1,9,0,0,0,0,4
09-08-2020,3,0,5,0,0,5,0,0,0,14
16-08-2020,8,3,8,0,1,5,0,9,1,1
23-08-2020,2,10,1,0,2,0,1,10,0,3
30-08-2020,11,8,0,0,1,0,0,1,3,3
06-09-2020,4,1,30,0,0,11,0,3,0,1
13-09-2020,16,3,9,0,1,2,0,3,5,2
20-09-2020,23,3,6,0,2,10,0,4,6,1
27-09-2020,12,16,30,0,1,7,0,4,2,1
04-10-2020,13,8,1,0,0,1,0,3,5,7
11-10-2020,13,0,4,0,1,5,0,3,0,3
18-10-2020,3,1,1,0,7,0,0,1,2,1
25-10-2020,30,0,0,0,0,0,0,0,0,0
01-11-2020,6,1,1,0,0,4,104,2,1,0
08-11-2020,16,2,1,0,1,4,187,4,5,2
15-11-2020,6,1,6,0,0,1,53,2,2,0
22-11-2020,5,2,1,25,2,1,132,17,1,0
29-11-2020,39,2,11,0,3,6,79,2,3,5
06-12-2020,16,2,10,3,0,3,195,14,0,1
13-12-2020,7,1,1,0,1,1,16,0,0,1
20-12-2020,7,1,0,1,2,1,137,1,1,1
27-12-2020,3,2,8,1,0,2,23,0,1,0
